date,volume_in_BTC,volume_in_USDT,funding_rate,close_price,log_returns,30d_vol
2023-02-02,364177.20751,8673696845.80511,0.0001,23488.94,-0.010322486493569127,0.02345840400352298
2023-02-03,332571.02904,7806490899.914181,0.0001,23431.9,-0.002431330219096245,0.02359427175423769
2023-02-04,166126.47295,3886777607.796051,0.0001,23326.84,-0.004493712909870792,0.023662294376216027
2023-02-05,209251.33917,4842463016.833934,0.0001,22932.91,-0.017031632139821246,0.024198937936036974
2023-02-06,265371.6069,6076050768.117038,0.0001,22762.52,-0.007457673107036351,0.024337938031189606
2023-02-07,308006.72482,7085929136.456849,0.0001,23240.46,0.020779401555923737,0.024419545873310407
2023-02-08,280056.30717,6457585647.820655,0.0001,22963.0,-0.01201050031064175,0.024722915085262805
2023-02-09,402894.6955,9052973327.197163,0.0001,21796.35,-0.052141700352517424,0.02714307408312649
2023-02-10,338591.94247,7369456394.906654,0.0001,21625.19,-0.007883685677702989,0.026984138367593575
2023-02-11,177021.58433,3842000897.7975802,6.165666666666668e-05,21862.55,0.010916288456747329,0.025763754778759626
2023-02-12,204435.65163,4469822441.4372015,5.8710000000000005e-05,21783.54,-0.0036204886304742638,0.02393189031781647
2023-02-13,295730.76791,6404813758.2696295,6.132333333333333e-05,21773.97,-0.00043941906477148134,0.02221324389641163
2023-02-14,361958.40109,7938385476.792084,9.629e-05,22199.84,0.01936986197704005,0.02243058491145601
2023-02-15,375669.16111,8604133693.663172,4.692666666666667e-05,24324.05,0.09138049119365944,0.027673468655639973
2023-02-16,450080.68366,11074988148.779009,0.00014390333333333331,23517.72,-0.033711393282664585,0.028524128941208482
2023-02-17,496813.21376,11968532252.05733,0.0001,24569.97,0.043770785975072134,0.029019158317863326
2023-02-18,216917.25213,5339920389.516133,0.0001,24631.95,0.002519415209186526,0.028917423411353185
2023-02-19,300395.99542,7408745406.624344,0.0001,24271.76,-0.014730846119734737,0.02612683335081498
2023-02-20,346938.56997,8561226688.07291,0.0001,24842.2,0.023230285350592204,0.02640249274797392
2023-02-21,376000.82868,9280992344.428871,0.0001,24452.16,-0.015825264394064464,0.026601724264756967
2023-02-22,379425.75365,9101745945.990707,0.0001,24182.21,-0.011101316717520895,0.026683176222723138
2023-02-23,398400.45437,9596083721.512953,5.7123333333333336e-05,23940.2,-0.01005818454576867,0.026642681754730484
2023-02-24,343582.57453,8087524100.39044,5.1223333333333335e-05,23185.29,-0.032041028461487375,0.027142583918541484
2023-02-25,191311.8101,4406286300.272117,5.816666666666667e-06,23157.07,-0.0012178923770018468,0.027140125548363772
